Curso;Seccion;N Interrogacion;Fecha;Vacantes
ICS3313;2;2;16-Jun;120
ICS2123;1;2;16-Jun;120
ICS3313;1;2;16-Jun;120
IEE2113;1;2;16-Jun;60
ICE3443;1;2;16-Jun;25
IEE3864;1;2;16-Jun;12
ICS2613;3;2;19-Jun;120
ICS3413;3;2;19-Jun;70
ICH2204;1;2;19-Jun;100
ICH2304;1;2;19-Jun;70
ICH3532;1;2;19-Jun;15
ICH2574;1;2;19-Jun;20
ICM2503;2,1,3;2;19-Jun;48
ICE2703;1;2;20-Jun;83
ICM3235;1;2;20-Jun;30
ICS3723;1;2;20-Jun;60
ICE2633;1;2;20-Jun;22
ICM2213;1;2;20-Jun;60
IMM2013;1;2;20-Jun;30
IIQ2303;1;2;20-Jun;30
ICT3283;1;2;20-Jun;63
ICC3312;1;2;20-Jun;20
ICC2312;1;2;20-Jun;30
ICM2022;1;2;22-Jun;60
ICC3214;1;2;22-Jun;62
ICS1513;2;2;22-Jun;60
IIC2333;1;2;22-Jun;140
IIQ1003;1;2;22-Jun;60
MAT1630;9,3,2,1,6,10,8,4,5,7;2;22-Jun;890
ICH2304;2;2;23-Jun;70
ICS3413;2;2;23-Jun;70
ICH1005;1;2;23-Jun;40
ICS3213;3;2;23-Jun;90
ICM3243;1;2;23-Jun;40
ICS2023;1;2;23-Jun;60
ICH3600;1;2;23-Jun;25
IIC2713;1;2;23-Jun;120
IIQ1003;2;2;23-Jun;60
ICC2304;1;2;23-Jun;80
ICS2123;2;2;23-Jun;120
ICT3464;1;2;23-Jun;46
IIC2713;2;2;23-Jun;120
IEE2713;1;2;23-Jun;70
IIC2713;3;2;23-Jun;120
IIC3800;1;2;27-Jun;100
IIC1103;1;2;27-Jun;120
IMT3800;1;2;27-Jun;35
ICM3762;1;2;27-Jun;30
IIC1103;3;2;27-Jun;120
ICT3113;2,3,1;2;27-Jun;45
ICS2523;3;2;28-Jun;90
IMM2053;1;2;28-Jun;40
ICE2533;1;2;28-Jun;85
ICE3753;1;2;28-Jun;27
ICC2514;1;2;28-Jun;36
IIQ2133;1;2;28-Jun;80
ICS2613;1;2;28-Jun;140
ICS1513;1;2;28-Jun;60
ICS3213;1;2;28-Jun;100
IIC3143;1;2;28-Jun;80
ICS1113;2,1,3,4;2;28-Jun;520
ICE2006;1;2;29-Jun;120
IIC3113;2;2;29-Jun;100
IIC2613;1;2;29-Jun;140
ICC3253;1;2;29-Jun;30
IIC2764;1;2;29-Jun;90
ICT2303;1;2;29-Jun;60
ICM2313;1;2;29-Jun;55
ICS2613;2;2;29-Jun;140
ICC2913;1;2;29-Jun;40
ICC3914;1;2;29-Jun;15
ICS3213;4;2;30-Jun;60
ICM2203;1;2;30-Jun;60
IIC3113;1;2;30-Jun;100
IEE2513;1;2;30-Jun;40
IEE2343;1;2;30-Jun;10
ICS2123;3;2;30-Jun;60
ICT3523;1;2;30-Jun;20
IMM2213;1;2;30-Jun;30
ICH2314;1;2;30-Jun;70
